epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8877,0.4258,1.94146,1.13554,0.25239,0.94063,0.42326,0.22471,1.01302,2.05659,0.98449,0.000543319,0.000543319,0.000543319
2,34.5036,0.2687,1.15018,0.98275,0.22345,0.52262,0.30778,0.24621,1.00583,2.12873,1.0545,0.00107723,0.00107723,0.00107723
3,50.775,0.29717,1.02702,0.99,0.39108,0.81786,0.48792,0.34288,0.76195,1.74129,0.83642,0.00158913,0.00158913,0.00158913
4,66.9053,0.28062,0.92072,0.98098,0.81434,0.43571,0.39804,0.35499,0.33654,1.57348,0.39027,0.00156798,0.00156798,0.00156798
5,83.4215,0.21453,0.82523,0.94628,0.4877,0.72012,0.61015,0.55473,0.34942,1.76819,0.41286,0.00153497,0.00153497,0.00153497
6,99.4988,0.20419,0.77753,0.94047,0.52893,0.44579,0.46785,0.33491,1.43253,1.93498,1.24465,0.00150197,0.00150197,0.00150197
7,115.511,0.17666,0.7346,0.93854,0.82707,0.47961,0.48084,0.23789,0.94205,2.36964,0.81924,0.00146896,0.00146896,0.00146896
8,131.472,0.18179,0.71295,0.92816,0.39527,0.87131,0.45272,0.33882,0.59333,1.2753,0.77856,0.00143595,0.00143595,0.00143595
9,147.784,0.16022,0.65921,0.92288,0.55688,0.90238,0.77069,0.75134,0.21929,0.81303,0.30091,0.00140295,0.00140295,0.00140295
10,163.741,0.15233,0.63584,0.92649,0.5516,0.97143,0.80079,0.80079,0.24153,0.99157,0.31002,0.00136994,0.00136994,0.00136994
11,179.696,0.16344,0.65983,0.9231,0.6597,0.84167,0.7959,0.59666,0.27512,0.96769,0.31288,0.00133693,0.00133693,0.00133693
12,196.084,0.15171,0.60705,0.91664,0.58869,0.85482,0.74828,0.74648,0.2011,0.70948,0.28305,0.00130393,0.00130393,0.00130393
13,212,0.1413,0.61139,0.91568,0.69263,0.83452,0.80663,0.61632,0.60921,1.17891,0.40403,0.00127092,0.00127092,0.00127092
14,227.911,0.13939,0.59122,0.91623,0.39212,0.78929,0.57385,0.3244,0.65563,2.18396,0.64165,0.00123791,0.00123791,0.00123791
15,243.922,0.14409,0.59025,0.91308,0.6991,0.86269,0.83425,0.83262,0.14836,0.82135,0.20745,0.00120491,0.00120491,0.00120491
16,260.288,0.1338,0.58085,0.91253,0.59174,0.75476,0.71793,0.71743,0.12122,0.8328,0.17356,0.0011719,0.0011719,0.0011719
17,276.128,0.13308,0.56746,0.91044,0.78218,0.78929,0.82651,0.80842,0.258,0.76637,0.37979,0.00113889,0.00113889,0.00113889
18,292,0.12395,0.54382,0.91051,0.69936,0.81667,0.82834,0.82569,0.1451,0.70331,0.21129,0.00110589,0.00110589,0.00110589
19,307.953,0.11363,0.53861,0.90107,0.60707,0.92992,0.76022,0.75237,0.17823,0.61264,0.22122,0.00107288,0.00107288,0.00107288
20,324.335,0.11306,0.48935,0.90772,0.69192,0.81667,0.84945,0.84945,0.07119,0.64185,0.12155,0.00103987,0.00103987,0.00103987
21,340.32,0.10517,0.52426,0.91075,0.63555,0.94077,0.83362,0.82951,0.10001,0.56543,0.1703,0.00100687,0.00100687,0.00100687
22,356.364,0.10372,0.48124,0.90069,0.72484,0.84194,0.8455,0.84191,0.10111,0.54423,0.14707,0.000973861,0.000973861,0.000973861
23,372.774,0.09841,0.4771,0.90987,0.69345,0.86905,0.84127,0.83973,0.10229,0.51023,0.15987,0.000940855,0.000940855,0.000940855
24,388.859,0.09385,0.48233,0.89886,0.57509,0.93095,0.77887,0.77697,0.12719,0.702,0.17106,0.000907848,0.000907848,0.000907848
25,404.876,0.10319,0.49291,0.9046,0.60487,0.76667,0.7436,0.74064,0.1688,0.74996,0.23765,0.000874842,0.000874842,0.000874842
26,421.157,0.0945,0.51182,0.90115,0.6767,0.8937,0.81815,0.81283,0.2076,0.5523,0.25856,0.000841835,0.000841835,0.000841835
27,437.344,0.09875,0.48276,0.90109,0.72116,0.90767,0.8843,0.8843,0.18371,0.57436,0.24716,0.000808828,0.000808828,0.000808828
28,453.276,0.09821,0.46066,0.89977,0.67442,0.79524,0.79516,0.71679,0.38909,0.8862,0.47715,0.000775822,0.000775822,0.000775822
29,469.16,0.09366,0.44591,0.89527,0.74974,0.78167,0.83511,0.82779,0.21229,0.61691,0.22147,0.000742815,0.000742815,0.000742815
30,485.453,0.08787,0.47417,0.90204,0.60863,0.93214,0.79271,0.79271,0.17292,0.80937,0.20733,0.000709809,0.000709809,0.000709809
31,501.408,0.08491,0.4534,0.89324,0.78829,0.80409,0.83657,0.82986,0.12911,0.59178,0.1709,0.000676802,0.000676802,0.000676802
32,517.372,0.08216,0.44625,0.89654,0.7135,0.86092,0.85905,0.85764,0.14996,0.56043,0.20255,0.000643795,0.000643795,0.000643795
33,533.535,0.07559,0.45196,0.89338,0.73858,0.89286,0.8608,0.85802,0.10735,0.52579,0.15154,0.000610789,0.000610789,0.000610789
34,549.444,0.07521,0.4339,0.89169,0.75528,0.84245,0.87487,0.8728,0.05573,0.51855,0.0904,0.000577782,0.000577782,0.000577782
35,565.249,0.07193,0.4545,0.89728,0.70194,0.79167,0.84537,0.84537,0.08594,0.92353,0.11941,0.000544776,0.000544776,0.000544776
36,581.132,0.07098,0.44872,0.89075,0.70269,0.91284,0.86366,0.85717,0.17468,0.62203,0.1923,0.000511769,0.000511769,0.000511769
37,597.385,0.07376,0.41948,0.88851,0.74223,0.83595,0.8558,0.8526,0.17198,0.59009,0.26115,0.000478762,0.000478762,0.000478762
38,613.296,0.0719,0.45426,0.90228,0.75979,0.84762,0.86542,0.83874,0.18558,0.61615,0.24633,0.000445756,0.000445756,0.000445756
39,629.173,0.06709,0.4241,0.89396,0.73088,0.7869,0.83407,0.82154,0.18306,0.61318,0.23882,0.000412749,0.000412749,0.000412749
40,645.374,0.06189,0.42821,0.90039,0.69963,0.93846,0.88243,0.87513,0.14965,0.48531,0.21498,0.000379743,0.000379743,0.000379743
41,662.585,0.05043,0.54952,0.90801,0.75956,0.83571,0.86091,0.85397,0.15489,0.63618,0.22582,0.000346736,0.000346736,0.000346736
42,678.5,0.05047,0.37281,0.90304,0.73104,0.9112,0.87178,0.86857,0.15462,0.67757,0.2217,0.000313729,0.000313729,0.000313729
43,694.399,0.04281,0.36467,0.91754,0.76053,0.82143,0.8703,0.87011,0.1518,0.50502,0.21476,0.000280723,0.000280723,0.000280723
44,711.033,0.03469,0.34574,0.90001,0.70412,0.92024,0.87225,0.87225,0.14494,0.48709,0.19607,0.000247716,0.000247716,0.000247716
45,726.943,0.03153,0.34561,0.9052,0.69768,0.90952,0.8675,0.8675,0.13987,0.55093,0.19688,0.00021471,0.00021471,0.00021471
46,742.845,0.03247,0.32108,0.90403,0.7009,0.90611,0.8639,0.85909,0.15557,0.55176,0.22617,0.000181703,0.000181703,0.000181703
47,759.166,0.02952,0.32934,0.90046,0.70119,0.90736,0.86858,0.86313,0.15805,0.58318,0.23006,0.000148696,0.000148696,0.000148696
48,775.185,0.02697,0.32678,0.90097,0.69887,0.91532,0.88127,0.87616,0.16358,0.56654,0.24484,0.00011569,0.00011569,0.00011569
49,791.052,0.02522,0.29246,0.90408,0.72315,0.89881,0.87746,0.8727,0.15857,0.54894,0.2265,8.26832e-05,8.26832e-05,8.26832e-05
50,806.94,0.02242,0.29437,0.9056,0.71909,0.90509,0.87582,0.87225,0.16172,0.57837,0.23194,4.96766e-05,4.96766e-05,4.96766e-05
